Feature,Importance
BMI,0.16999736545787392
Age,0.12930050947116675
GenHlth,0.10678703618168955
Income,0.08338853715679229
PhysHlth,0.06972471204178661
HighBP,0.06924788099141387
Education,0.05795022842494082
MentHlth,0.05190062197651124
HighChol,0.040702366164348226
Smoker,0.029065916753021396
Fruits,0.028464014739267143
DiffWalk,0.027001434339093695
Sex,0.02594509788793213
PhysActivity,0.023355697278347784
Veggies,0.021887640697461547
HeartDiseaseorAttack,0.019907770992244583
NoDocbcCost,0.011910239599760643
Stroke,0.009938332417005279
HvyAlcoholConsump,0.00979153828072512
AnyHealthcare,0.007750976598127137
CholCheck,0.005982082550490263
